cursor_motion dense_cells light_cells medium_cells scrolling scrolling_bottom_region scrolling_bottom_small_region scrolling_fullscreen scrolling_top_region scrolling_top_small_region sync_medium_cells unicode 
32 _ 20 28 _ _ _ 24 _ _ 31 17 
32 _ 18 29 _ _ _ 24 _ _ 33 17 
36 _ 17 28 _ _ _ 27 _ _ 34 36 
31 _ 18 28 _ _ _ 23 _ _ 31 29 
36 _ 18 29 _ _ _ 21 _ _ 32 15 
39 _ 18 28 _ _ _ 21 _ _ 29 16 
39 _ 18 28 _ _ _ 24 _ _ 32 20 
39 _ 17 28 _ _ _ 24 _ _ 29 18 
36 _ 18 27 _ _ _ 23 _ _ 31 17 
37 _ 18 27 _ _ _ 24 _ _ 30 16 
34 _ 18 32 _ _ _ 23 _ _ 30 16 
35 _ 19 27 _ _ _ 25 _ _ 29 18 
36 _ 17 27 _ _ _ 25 _ _ 28 16 
34 _ 18 27 _ _ _ 24 _ _ 31 15 
34 _ 18 32 _ _ _ 21 _ _ 31 17 
34 _ 18 34 _ _ _ 24 _ _ 35 16 
33 _ 18 27 _ _ _ 25 _ _ 58 15 
33 _ 18 27 _ _ _ 23 _ _ 40 15 
32 _ 18 32 _ _ _ 27 _ _ 35 20 
31 _ 18 33 _ _ _ 25 _ _ 35 17 
33 _ 18 29 _ _ _ 23 _ _ 32 17 
33 _ 18 28 _ _ _ 25 _ _ 32 17 
33 _ 17 28 _ _ _ 21 _ _ 32 17 
32 _ 18 27 _ _ _ 21 _ _ 28 17 
32 _ 17 29 _ _ _ 22 _ _ 29 17 
35 _ 18 28 _ _ _ 24 _ _ 31 18 
35 _ 18 28 _ _ _ 26 _ _ 30 17 
35 _ 20 29 _ _ _ 23 _ _ 30 19 
32 _ 18 28 _ _ _ 22 _ _ 29 21 
31 _ 18 28 _ _ _ 23 _ _ 28 20 
31 _ 18 28 _ _ _ 23 _ _ 29 21 
32 _ 18 28 _ _ _ 24 _ _ 29 19 
35 _ 18 28 _ _ _ 24 _ _ 29 20 
33 _ 18 28 _ _ _ 25 _ _ 29 19 
32 _ 18 27 _ _ _ 23 _ _ 28 17 
32 _ 18 30 _ _ _ 24 _ _ 29 20 
34 _ 18 28 _ _ _ 22 _ _ 28 18 
35 _ 18 27 _ _ _ 21 _ _ 28 16 
35 _ 18 27 _ _ _ 24 _ _ 30 17 
32 _ 18 27 _ _ _ 24 _ _ 29 18 
34 _ 17 32 _ _ _ 27 _ _ 29 18 
